scientific_name,family,genus,collector,collection_date,collection_date_normalized,locality,country,habitat,elevation,type_status,institution_code,barcode,identified_by,identification_date,field_notes,label_language,image_quality,confidence,index,occurrenceID,source_url,extraction_error
Parmeliopsis ambigua (Wulf.) Nyl.,,Parmeliopsis,M. E. Hale,Aug. 1956,1956-08-01,"West Virginia: top of Spruce Knob, Pendleton Co.",United States,on twigs of Picea rubens in mountains,,ISOTYPE,H,H 9 503 747,Teuvo Ahti,1978,Chemical contents: divaricatic and usnic acids.,English,good,high,143,http://id.luomus.fi/HA.H9503747,https://zenodo.org/record/1485654/files/HA.H9503747.jpg,
Adiantum raddianum Presl,,Adiantum,Pentti Alanko,7.3.1972,1972-03-07,"Finland, Nylandia: Helsinki, Kaisaniemi, cultivated in the Botanical Garden in greenhouse BI",Finland,,,,H,H1999713,J. Saastamoinen,1977,,English,good,high,7,http://id.luomus.fi/H.1099713,https://zenodo.org/record/1485502/files/H.1099713.jpg,
Dryopteris schimperiana,,Dryopteris,H. Smeds,10.I.1958,1958-01-10,"Bale, Bali Highland, Rira, c. 10 km SW of Batu",Ethiopia,Tall fern on ground,2900 m,,H,1749439,J. Sarvela,,"Duplicate sent to FI, with number Smeds 159 representing Smeds' collector number 590",English,good,high,98,http://id.luomus.fi/EIG.437,https://zenodo.org/record/1485106/files/EIG.437.jpg,
Blechnum arborescens (Kl. & Kortst.) Hieron.,,Blechnum,A. Glaziou,February 1876,1876-02-01,Province of Rio de Janeiro,Brazil,,,,K,K0003954210,T. C. Chambers,25/1/78,Imray & Rogers Herb.,English,good,high,61,http://specimens.kew.org/herbarium/K000954210,https://zenodo.org/record/1486528/files/K000954210.jpg,
Euonymus hemsleyana Loes.,,Euonymus,A. Henry,,,Mengtsz,China,,4600',TYPE,E,E00562283,,,Purchased 1908,English,good,high,113,http://data.rbge.org.uk/herb/E00502283,https://zenodo.org/record/1484105/files/E00502283.jpg,
Solanum aviculare Forst.,,Solanum,Chase and Leland,February 1910,1910-02-01,"Dry hillside, Te Aroha, N.Z.",New Zealand,Dry hillside,,,BM,BM000846738,Josephine E. Tilden,,South Pacific Plants,English,good,high,182,5e6e70c5-4891-48b4-93a6-bf46d06df4ac,https://zenodo.org/record/1480401/files/BM000846738.jpg,
Zingiber ?,,Zingiber,E. E. Maire,,,Vicinity of Yun-Nan-Sen,,,,,E,E00359799,,,Received November 1906,English,good,high,198,http://data.rbge.org.uk/herb/E00389799,https://zenodo.org/record/1483993/files/E00389799.jpg,
Solanum douglasii Dunal,,Solanum,"L. W. Nuttall, Ezra C. Knopf","May 13, 1920",1920-05-13,Santa Catalina Island (California),United States,,,,BM,BM000846371,Sandra Knapp,2014,Systematic Studies in Solanaceae,English,good,high,185,b325deb1-73ad-418e-8732-34f682e4c2ca,https://zenodo.org/record/1480377/files/BM000846372.jpg,
Alstonia iwahigensis Elmer,,Alstonia,E. D. Elmer,"March, 1911",1911-03-01,"Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan",Philippines,,,TYPE,L,L0004873,D. J. Middleton,1991,,English,good,high,10,http://data.biodiversitydata.nl/naturalis/specimen/L%20%200004873,https://zenodo.org/record/1486752/files/L  0004873.jpg,
Dryopteris unidentata (Hook. & Arn.) C. Chr.,,Dryopteris,F. R. Fosberg & C. Skottsberg,5/6/48,1948-06-05,"Hawaii, in forest on summit of Kohala Mts.",United States,in forest on summit,5700 ft.,,H,1107075,Tess R. Haug,Jan. 1977,,English,good,high,105,http://id.luomus.fi/EIG.1074,https://zenodo.org/record/1484942/files/EIG.1074.jpg,
Agathis Palmerstonii B.M.,,Agathis,L. J. Brass,"Oct. 17, 1932",1932-10-17,Mt. Bellenden Ker,Australia,Ridge near summit,5000 ft.,,B,B 10 0034848,,,"Very large tree, about 100 ft. high, with a spreading crown. Growing in dense forest.",English,good,high,201,http://herbarium.bgbm.org/object/B100003484,https://zenodo.org/record/1479085/files/B 10 0003484.jpg,
Cratoxylon arborescens (Vahl.) Bl.,Guttiferae,Cratoxylon,Soepadmo,19 Aug. 1960,1960-08-19,"Upper Riau, Pakanbaru, Tenasen R.",Indonesia,Fresh water swamp.,low m. alt.,,BO,B 10 0355192,Nielsor. M. Wik,10.2.2005,"Tree 35 m, Ø 80 cm. Bark greyish brown, meselupaes, 1 cm thick. L.b. 0.5 cm, dark reddish brown. Sapwood dirty white. Frs. dark reddish-brown.",English,good,high,217,http://herbarium.bgbm.org/object/B100355192,https://zenodo.org/record/1479507/files/B 10 0355192.jpg,
Picris evae Lack,Compositae,Picris,Cubr 37491 = Schw 18293,27.11.1975,1975-11-27,"Queensland, about 1 km south of Oakeyon main road to Toowoomba",Australia,,,,B,B 10 0355271,,,Kultiviert im Botanischen Garten Berlin-Dahlem,English,good,high,237,http://herbarium.bgbm.org/object/B100355271,https://zenodo.org/record/1479509/files/B 10 0355271.jpg,
Pseudoxandra spiritus-sancti Maas,Annonaceae,Pseudoxandra,"P. J. M. Maas & H. Maas, L. Kollmann",16 Feb 1999,1999-02-16,"Município de Santa Teresa, Estação Biológica de Santa Lúcia",Brazil,"Hill forest, on brown sandy, weathered soil with many Palmae and terrestrial epiphytic Bromeliaceae",800 m,ISOTYPE,U,B 10 0030420,P. J. M. Maas,"Utrecht, 2001","Tree, 15 m tall, 20 cm in diam., upper side of leaves strongly shiny, dark green above, lower side shiny, pale green, sepals and petals green, young monocarps shiny, reddish green, stipes reddish",English,good,high,241,http://herbarium.bgbm.org/object/B100030420,https://zenodo.org/record/1479168/files/B 10 0030420.jpg,
Cladonia schofieldii Ahti & Brodo,,Cladonia,Teuvo Ahti,26.VII.1980,1980-07-26,"QUEEN CHARLOTTE ISLANDS. Moresby Island, Tasu Sound, c. 2.5 km SW of Tasu, N slope of the summit of 'Mine Mtn.'",Canada,timberline grasslands and heaths with scattered Tsuga mertensiana scrub (perhumid upper oroboreal to orohemiarctic zone),c. 800-1000 m,HOLOTYPE,H,H 9 504 020,Teuvo Ahti & Irwin M. Brodo,1.IV.93,2nd Internat. Congr. System. Evol. Biol. Excursion PLANTS OF BRITISH COLUMBIA,English,good,high,68,http://id.luomus.fi/HA.H9504020,https://zenodo.org/record/1485658/files/HA.H9504020.jpg,
Kopsia lanceolata Merr.,,Kopsia,"Lau, S. K.","July 11, 1932",1932-07-11,"Naam Shan Leng, Ngai District, Hainan",China,Rare; dry; gentle slope; rocky; thicket; roadside; woody; erect,,,B,B 10 1001999,E. D. Merrill,,"Fruit, red, edible. Sekskat (Li)",English,good,high,225,http://herbarium.bgbm.org/object/B101001999,https://zenodo.org/record/1479640/files/B 10 1001999.jpg,
Viola Canadensis L.,,Viola,A. A. and E. Gertrude Heller,"June 2, 1897",1897-06-02,"Santa Fe Canon, 9 miles east of Santa Fe",United States,,8000 feet,,P,P04732217,,,,English,good,high,195,http://coldb.mnhn.fr/catalognumber/mnhn/p/p04732717,https://zenodo.org/record/1487397/files/P04732717.jpg,
Apocynum cannabinum,,Apocynum,H. J. Clark,1847,1847-01-01,White Plains,,,,,BR,590 769,,,,English,good,high,16,http://www.botanicalcollections.be/specimen/BR0000005907694,https://zenodo.org/record/1480922/files/BR0000005907694.jpg,
Senecio transmarinus S. Moore,,Senecio,G. F. Scott Elliot,,,Ruwenzori,,,8-9000 ft,HOLOTYPE,BM,BM000798777,,,Ruwenzori Expedition 1890-94,English,good,high,178,bd50dfbd-2df3-44de-a911-26fc62d94856,https://zenodo.org/record/1480336/files/BM000798777.jpg,
Arthropteris monocarpa (Cordem.) C.Chr.,,Arthropteris,Ilkka Kukkonen,1.XI.1982,1982-11-01,"Illubabor Adm. Reg., 10 km W of Bedele on road to Metu 08°03'N 36°25'E, c. 1900 m. In open woodland along a river.",Ethiopia,In the thicket along the river. Epiphytic on tree trunks and on the ground.,c. 1900 m,,H,H159717,det. J. Sarvela,1983,,English,good,high,25,http://id.luomus.fi/EIG.6734,https://zenodo.org/record/1485152/files/EIG.6734.jpg,
Senecio discifolius Oliv.,,Senecio,"T. Eriksson, V. Kalema & G. Lailyo",7 June 1990,1990-06-07,"Arusha region, Arumeru district, open, grazed Acacia bushland. Arusha - Namanga rd. some km N of Oldonyo Sambu.",Tanzania,"open, grazed Acacia bushland",ca. 1600 m,,B,B 10 0046042,,,DNA samples taken. Leaf sample taken for DNA sequencing studies.,English,good,high,248,http://herbarium.bgbm.org/object/B100046042,https://zenodo.org/record/1479173/files/B 10 0046042.jpg,
Arachniodes aristata (Forst.) Tindale,,Arachniodes,Jarkko Hyvönen,15.XII.1987,1987-12-15,"Hoping-hsieng, trail from Ku-Kuan to Mt. Po Jang Cha, S.E. slopes","China, Taiwan","dry forest of Pinus taiwanensis, Pinus morrisonicola, Fagaceae, Castanea crenata and scattered Formosana, shrub layer dominated by small Ardisia virens",ca. 800-850 m,,H,1658533,Soili Stenroos,1988,,English,good,high,20,http://id.luomus.fi/EIG.1261,https://zenodo.org/record/1484946/files/EIG.1261.jpg,
Galium asprellum Michx.,,Galium,P.N.W.,5-8-1842,1842-08-05,"East Mill Creek, Canada",Canada,,,,BR,561 980,L. v. Schweinitz,1839,,English,good,high,115,http://www.botanicalcollections.be/specimen/BR0000005619801,https://zenodo.org/record/1480844/files/BR0000005619801.jpg,
